tld,type,language_code,sponsor,punycode,translation,romanized,rtl
aaa,gTLD,,"American Automobile Association, Inc.",,,,False
aarp,gTLD,,AARP,,,,False
abarth,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
abb,gTLD,,ABB Ltd,,,,False
abbott,gTLD,,"Abbott Laboratories, Inc.",,,,False
abbvie,gTLD,,AbbVie Inc.,,,,False
abc,gTLD,,"Disney Enterprises, Inc.",,,,False
able,gTLD,,Able Inc.,,,,False
abogado,gTLD,,Minds + Machines Group Limited,,lawyer,,False
abudhabi,gTLD,,Abu Dhabi Systems and Information Centre,,,,False
ac,ccTLD,,Internet Computer Bureau Limited,,,,False
academy,gTLD,,"Binky Moon, LLC",,,,False
accenture,gTLD,,Accenture plc,,,,False
accountant,gTLD,,dot Accountant Limited,,,,False
accountants,gTLD,,"Binky Moon, LLC",,,,False
aco,gTLD,,ACO Severin Ahlmann GmbH & Co. KG,,,,False
active,gTLD,,Not assigned,,,,False
actor,gTLD,,United TLD Holdco Ltd.,,,,False
ad,ccTLD,,Andorra Telecom,,,,False
adac,gTLD,,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),,,,False
ads,gTLD,,Charleston Road Registry Inc.,,,,False
adult,gTLD,,ICM Registry AD LLC,,,,False
ae,ccTLD,,Telecommunication Regulatory Authority (TRA),,,,False
aeg,gTLD,,Aktiebolaget Electrolux,,,,False
aero,sTLD,,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),,,,False
aetna,gTLD,,Aetna Life Insurance Company,,,,False
af,ccTLD,,Ministry of Communications and IT,,,,False
afamilycompany,gTLD,,"Johnson Shareholdings, Inc.",,,,False
afl,gTLD,,Australian Football League,,,,False
africa,gTLD,,ZA Central Registry NPC trading as Registry.Africa,,,,False
ag,ccTLD,,UHSA School of Medicine,,,,False
agakhan,gTLD,,Fondation Aga Khan (Aga Khan Foundation),,,,False
agency,gTLD,,"Binky Moon, LLC",,,,False
ai,ccTLD,,Government of Anguilla,,,,False
aig,gTLD,,"American International Group, Inc.",,,,False
aigo,gTLD,,Not assigned,,,,False
airbus,gTLD,,Airbus S.A.S.,,,,False
airforce,gTLD,,United TLD Holdco Ltd.,,,,False
airtel,gTLD,,Bharti Airtel Limited,,,,False
akdn,gTLD,,Fondation Aga Khan (Aga Khan Foundation),,,,False
al,ccTLD,,Electronic and Postal Communications Authority - AKEP,,,,False
alfaromeo,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
alibaba,gTLD,,Alibaba Group Holding Limited,,,,False
alipay,gTLD,,Alibaba Group Holding Limited,,,,False
allfinanz,gTLD,,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,,,,False
allstate,gTLD,,Allstate Fire and Casualty Insurance Company,,,,False
ally,gTLD,,Ally Financial Inc.,,,,False
alsace,gTLD,,REGION GRAND EST,,,,False
alstom,gTLD,,ALSTOM,,,,False
am,ccTLD,,"""Internet Society"" Non-governmental Organization",,,,False
amazon,gTLD,,"Amazon Registry Services, Inc.",,,,False
americanexpress,gTLD,,"American Express Travel Related Services Company, Inc.",,,,False
americanfamily,gTLD,,"AmFam, Inc.",,,,False
amex,gTLD,,"American Express Travel Related Services Company, Inc.",,,,False
amfam,gTLD,,"AmFam, Inc.",,,,False
amica,gTLD,,Amica Mutual Insurance Company,,,,False
amsterdam,gTLD,,Gemeente Amsterdam,,,,False
an,ccTLD,,Retired,,,,False
analytics,gTLD,,Campus IP LLC,,,,False
android,gTLD,,Charleston Road Registry Inc.,,,,False
anquan,gTLD,,QIHOO 360 TECHNOLOGY CO. LTD.,,,,False
anz,gTLD,,Australia and New Zealand Banking Group Limited,,,,False
ao,ccTLD,,Ministry of Telecommunications and Information Technologies (MTTI),,,,False
aol,gTLD,,OATH Inc.,,,,False
apartments,gTLD,,"Binky Moon, LLC",,,,False
app,gTLD,,Charleston Road Registry Inc.,,,,False
apple,gTLD,,Apple Inc.,,,,False
aq,ccTLD,,Antarctica Network Information Centre Limited,,,,False
aquarelle,gTLD,,Aquarelle.com,,,,False
ar,ccTLD,,Presidencia de la Nación – Secretaría Legal y Técnica,,,,False
arab,gTLD,,League of Arab States,,,,False
aramco,gTLD,,Aramco Services Company,,,,False
archi,gTLD,,Afilias Limited,,,,False
army,gTLD,,United TLD Holdco Ltd.,,,,False
arpa,infrastructure,,Internet Architecture Board (IAB),,,,False
art,gTLD,,UK Creative Ideas Limited,,,,False
arte,gTLD,,Association Relative à la Télévision Européenne G.E.I.E.,,,,False
as,ccTLD,,AS Domain Registry,,,,False
asda,gTLD,,"Wal-Mart Stores, Inc.",,,,False
asia,sTLD,,DotAsia Organisation Ltd.,,,,False
associates,gTLD,,"Binky Moon, LLC",,,,False
at,ccTLD,,nic.at GmbH,,,,False
athleta,gTLD,,"The Gap, Inc.",,,,False
attorney,gTLD,,"United TLD Holdco, Ltd",,,,False
au,ccTLD,,.au Domain Administration (auDA),,,,False
auction,gTLD,,"United TLD HoldCo, Ltd.",,,,False
audi,gTLD,,AUDI Aktiengesellschaft,,,,False
audible,gTLD,,"Amazon Registry Services, Inc.",,,,False
audio,gTLD,,"Uniregistry, Corp.",,,,False
auspost,gTLD,,Australian Postal Corporation,,,,False
author,gTLD,,"Amazon Registry Services, Inc.",,,,False
auto,gTLD,,XYZ.COM LLC,,,,False
autos,gTLD,,"DERAutos, LLC",,,,False
avianca,gTLD,,Avianca Holdings S.A.,,,,False
aw,ccTLD,,SETAR,,,,False
aws,gTLD,,"Amazon Registry Services, Inc.",,,,False
ax,ccTLD,,Ålands landskapsregering,,,,False
axa,gTLD,,AXA SA,,,,False
az,ccTLD,,IntraNS,,,,False
azure,gTLD,,Microsoft Corporation,,,,False
ba,ccTLD,,Universtiy Telinformatic Centre (UTIC),,,,False
baby,gTLD,,XYZ.COM LLC,,,,False
baidu,gTLD,,"Baidu, Inc.",,,,False
banamex,gTLD,,Citigroup Inc.,,,,False
bananarepublic,gTLD,,"The Gap, Inc.",,,,False
band,gTLD,,"United TLD Holdco, Ltd",,,,False
bank,gTLD,,"fTLD Registry Services, LLC",,,,False
bar,gTLD,,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,,,,False
barcelona,gTLD,,Municipi de Barcelona,,,,False
barclaycard,gTLD,,Barclays Bank PLC,,,,False
barclays,gTLD,,Barclays Bank PLC,,,,False
barefoot,gTLD,,"Gallo Vineyards, Inc.",,,,False
bargains,gTLD,,"Binky Moon, LLC",,,,False
baseball,gTLD,,"MLB Advanced Media DH, LLC",,,,False
basketball,gTLD,,Fédération Internationale de Basketball (FIBA),,,,False
bauhaus,gTLD,,Werkhaus GmbH,,,,False
bayern,gTLD,,Bayern Connect GmbH,,,,False
bb,ccTLD,,Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit,,,,False
bbc,gTLD,,British Broadcasting Corporation,,,,False
bbt,gTLD,,BB&T Corporation,,,,False
bbva,gTLD,,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",,,,False
bcg,gTLD,,"The Boston Consulting Group, Inc.",,,,False
bcn,gTLD,,Municipi de Barcelona,,,,False
bd,ccTLD,,Posts and Telecommunications Division,,,,False
be,ccTLD,,DNS Belgium vzw/asbl,,,,False
beats,gTLD,,"Beats Electronics, LLC",,,,False
beauty,gTLD,,XYZ.COM LLC,,,,False
beer,gTLD,,Minds + Machines Group Limited,,,,False
bentley,gTLD,,Bentley Motors Limited,,,,False
berlin,gTLD,,dotBERLIN GmbH & Co. KG,,,,False
best,gTLD,,BestTLD Pty Ltd,,,,False
bestbuy,gTLD,,"BBY Solutions, Inc.",,,,False
bet,gTLD,,Afilias Limited,,,,False
bf,ccTLD,,ARCE-AutoritÈ de RÈgulation des Communications Electroniques,,,,False
bg,ccTLD,,Register.BG,,,,False
bh,ccTLD,,Telecommunications Regulatory Authority (TRA),,,,False
bharti,gTLD,,Bharti Enterprises (Holding) Private Limited,,,,False
bi,ccTLD,,Centre National de l'Informatique,,,,False
bible,gTLD,,American Bible Society,,,,False
bid,gTLD,,dot Bid Limited,,,,False
bike,gTLD,,"Binky Moon, LLC",,,,False
bing,gTLD,,Microsoft Corporation,,,,False
bingo,gTLD,,"Binky Moon, LLC",,,,False
bio,gTLD,,Afilias Limited,,,,False
biz,grTLD,,"Registry Services, LLC",,,,False
bj,ccTLD,,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN),,,,False
bl,ccTLD,,Not assigned,,,,False
black,gTLD,,Afilias Limited,,,,False
blackfriday,gTLD,,"Uniregistry, Corp.",,,,False
blanco,gTLD,,Not assigned,,,,False
blockbuster,gTLD,,Dish DBS Corporation,,,,False
blog,gTLD,,"Knock Knock WHOIS There, LLC",,,,False
bloomberg,gTLD,,Bloomberg IP Holdings LLC,,,,False
blue,gTLD,,Afilias Limited,,,,False
bm,ccTLD,,"Registry General Department, Ministry of Home Affairs",,,,False
bms,gTLD,,Bristol-Myers Squibb Company,,,,False
bmw,gTLD,,Bayerische Motoren Werke Aktiengesellschaft,,,,False
bn,ccTLD,,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),,,,False
bnl,gTLD,,Not assigned,,,,False
bnpparibas,gTLD,,BNP Paribas,,,,False
bo,ccTLD,,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,,,,False
boats,gTLD,,"DERBoats, LLC",,,,False
boehringer,gTLD,,Boehringer Ingelheim International GmbH,,,,False
bofa,gTLD,,Bank of America Corporation,,,,False
bom,gTLD,,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,,good,,False
bond,gTLD,,Shortdot SA,,,,False
boo,gTLD,,Charleston Road Registry Inc.,,,,False
book,gTLD,,"Amazon Registry Services, Inc.",,,,False
booking,gTLD,,Booking.com B.V.,,,,False
boots,gTLD,,Not assigned,,,,False
bosch,gTLD,,Robert Bosch GMBH,,,,False
bostik,gTLD,,Bostik SA,,,,False
boston,gTLD,,"Boston TLD Management, LLC",,,,False
bot,gTLD,,"Amazon Registry Services, Inc.",,,,False
boutique,gTLD,,"Binky Moon, LLC",,,,False
box,gTLD,,Intercap Registry Inc.,,,,False
bq,ccTLD,,Not assigned,,,,False
br,ccTLD,,Comite Gestor da Internet no Brasil,,,,False
bradesco,gTLD,,Banco Bradesco S.A.,,,,False
bridgestone,gTLD,,Bridgestone Corporation,,,,False
broadway,gTLD,,"Celebrate Broadway, Inc.",,,,False
broker,gTLD,,DOTBROKER REGISTRY LTD,,,,False
brother,gTLD,,"Brother Industries, Ltd.",,,,False
brussels,gTLD,,DNS.be vzw,,,,False
bs,ccTLD,,University of The Bahamas,,,,False
bt,ccTLD,,Ministry of Information and Communications,,,,False
budapest,gTLD,,Minds + Machines Group Limited,,,,False
bugatti,gTLD,,Bugatti International SA,,,,False
build,gTLD,,Plan Bee LLC,,,,False
builders,gTLD,,"Binky Moon, LLC",,,,False
business,gTLD,,"Binky Moon, LLC",,,,False
buy,gTLD,,"Amazon Registry Services, INC",,,,False
buzz,gTLD,,DOTSTRATEGY CO.,,,,False
bv,ccTLD,,Norid A/S,,,,False
bw,ccTLD,,Botswana Communications Regulatory Authority (BOCRA),,,,False
by,ccTLD,,"Reliable Software, Ltd.",,,,False
bz,ccTLD,,University of Belize,,,,False
bzh,gTLD,,Association www.bzh,,,,False
ca,ccTLD,,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),,,,False
cab,gTLD,,"Binky Moon, LLC",,,,False
cafe,gTLD,,"Binky Moon, LLC",,café,,False
cal,gTLD,,Charleston Road Registry Inc.,,,,False
call,gTLD,,"Amazon Registry Services, Inc.",,,,False
calvinklein,gTLD,,PVH gTLD Holdings LLC,,,,False
cam,gTLD,,AC Webconnecting Holding B.V.,,,,False
camera,gTLD,,"Binky Moon, LLC",,,,False
camp,gTLD,,"Binky Moon, LLC",,,,False
cancerresearch,gTLD,,Australian Cancer Research Foundation,,,,False
canon,gTLD,,Canon Inc.,,,,False
capetown,gTLD,,ZA Central Registry NPC trading as ZA Central Registry,,,,False
capital,gTLD,,"Binky Moon, LLC",,,,False
capitalone,gTLD,,Capital One Financial Corporation,,,,False
car,gTLD,,XYZ.COM LLC,,,,False
caravan,gTLD,,"Caravan International, Inc.",,,,False
cards,gTLD,,"Binky Moon, LLC",,,,False
care,gTLD,,"Binky Moon, LLC",,,,False
career,gTLD,,dotCareer LLC,,,,False
careers,gTLD,,"Binky Moon, LLC",,,,False
cars,gTLD,,XYZ.COM LLC,,,,False
cartier,gTLD,,Not assigned,,,,False
casa,gTLD,,Minds + Machines Group Limited,,house,,False
case,gTLD,,CNH Industrial N.V.,,,,False
caseih,gTLD,,CNH Industrial N.V.,,,,False
cash,gTLD,,"Binky Moon, LLC",,,,False
casino,gTLD,,"Binky Moon, LLC",,,,False
cat,sTLD,,Fundacio puntCAT,,,,False
catering,gTLD,,"Binky Moon, LLC",,,,False
catholic,gTLD,,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),,,,False
cba,gTLD,,COMMONWEALTH BANK OF AUSTRALIA,,,,False
cbn,gTLD,,"The Christian Broadcasting Network, Inc.",,,,False
cbre,gTLD,,"CBRE, Inc.",,,,False
cbs,gTLD,,CBS Domains Inc.,,,,False
cc,ccTLD,,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services,,,,False
cd,ccTLD,,Office Congolais des Postes et Télécommunications - OCPT,,,,False
ceb,gTLD,,The Corporate Executive Board Company,,,,False
center,gTLD,,"Binky Moon, LLC",,,,False
ceo,gTLD,,CEOTLD Pty Ltd,,,,False
cern,gTLD,,"European Organization for Nuclear Research (""CERN"")",,,,False
cf,ccTLD,,Societe Centrafricaine de Telecommunications (SOCATEL),,,,False
cfa,gTLD,,CFA Institute,,,,False
cfd,gTLD,,DOTCFD REGISTRY LTD,,,,False
cg,ccTLD,,Interpoint Switzerland,,,,False
ch,ccTLD,,SWITCH The Swiss Education & Research Network,,,,False
chanel,gTLD,,Chanel International B.V.,,,,False
channel,gTLD,,Charleston Road Registry Inc.,,,,False
charity,gTLD,,"Corn Lake, LLC",,,,False
chase,gTLD,,"JPMorgan Chase Bank, National Association",,,,False
chat,gTLD,,"Binky Moon, LLC",,,,False
cheap,gTLD,,"Binky Moon, LLC",,,,False
chintai,gTLD,,CHINTAI Corporation,,,,False
chloe,gTLD,,Not assigned,,,,False
christmas,gTLD,,"Uniregistry, Corp.",,,,False
chrome,gTLD,,Charleston Road Registry Inc.,,,,False
chrysler,gTLD,,Not assigned,,,,False
church,gTLD,,"Binky Moon, LLC",,,,False
ci,ccTLD,,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI),,,,False
